K,Bytes,AvgTimeMs
# Client started: Wed Jan 28 01:08:00 MSK 2026
# Parameters: N=1024, M=5000, Q=10
1554,1591304,80
1555,1592328,79
1556,1593352,83
1557,1594376,81
1558,1595400,76
1559,1596424,77
1560,1597448,77
1561,1598472,78
1562,1599496,93
1563,1600520,80
1564,1601544,152
1565,1602568,79
1566,1603592,78
1567,1604616,93
1568,1605640,78
1569,1606664,81
1570,1607688,72
1571,1608712,78
1572,1609736,81
1573,1610760,86
1574,1611784,85
1575,1612808,83
1576,1613832,88
1577,1614856,77
1578,1615880,82
1579,1616904,89
1580,1617928,87
1581,1618952,80
1582,1619976,80
1583,1621000,127
1584,1622024,91
1585,1623048,84
1586,1624072,77
1587,1625096,77
1588,1626120,73
1589,1627144,75
1590,1628168,74
1591,1629192,82
1592,1630216,78
1593,1631240,77
1594,1632264,76
1595,1633288,77
1596,1634312,84
1597,1635336,89
1598,1636360,72
1599,1637384,87
1600,1638408,71
1601,1639432,84
1602,1640456,80
1603,1641480,75
1604,1642504,78
1605,1643528,85
1606,1644552,76
1607,1645576,79
1608,1646600,75
1609,1647624,80
1610,1648648,82
1611,1649672,80
1612,1650696,89
1613,1651720,105
1614,1652744,115
1615,1653768,107
1616,1654792,96
1617,1655816,102
1618,1656840,109
1619,1657864,114
1620,1658888,123
1621,1659912,81
1622,1660936,93
1623,1661960,124
1624,1662984,113
1625,1664008,94
1626,1665032,121
1627,1666056,138
1628,1667080,90
1629,1668104,80
1630,1669128,86
1631,1670152,103
1632,1671176,113
1633,1672200,107
1634,1673224,107
1635,1674248,130
1636,1675272,117
1637,1676296,131
1638,1677320,104
1639,1678344,121
1640,1679368,138
1641,1680392,236
1642,1681416,86
1643,1682440,96
1644,1683464,112
1645,1684488,91
1646,1685512,110
1647,1686536,104
1648,1687560,124
1649,1688584,119
1650,1689608,96
1651,1690632,98
1652,1691656,96
1653,1692680,99
1654,1693704,99
1655,1694728,127
1656,1695752,195
1657,1696776,87
1658,1697800,86
1659,1698824,89
1660,1699848,109
1661,1700872,107
1662,1701896,120
1663,1702920,105
1664,1703944,111
1665,1704968,110
1666,1705992,105
1667,1707016,118
1668,1708040,99
1669,1709064,94
1670,1710088,242
1671,1711112,97
1672,1712136,103
1673,1713160,98
1674,1714184,119
1675,1715208,99
1676,1716232,106
1677,1717256,98
1678,1718280,105
1679,1719304,95
1680,1720328,101
1681,1721352,106
1682,1722376,107
1683,1723400,105
1684,1724424,116
1685,1725448,108
1686,1726472,103
1687,1727496,106
1688,1728520,115
1689,1729544,94
1690,1730568,88
1691,1731592,90
1692,1732616,80
1693,1733640,88
1694,1734664,86
1695,1735688,86
1696,1736712,97
1697,1737736,104
1698,1738760,107
1699,1739784,107
1700,1740808,123
1701,1741832,106
1702,1742856,120
1703,1743880,98
1704,1744904,187
1705,1745928,90
1706,1746952,81
1707,1747976,83
1708,1749000,89
1709,1750024,87
1710,1751048,87
1711,1752072,96
1712,1753096,79
1713,1754120,94
1714,1755144,85
1715,1756168,92
1716,1757192,106
1717,1758216,120
1718,1759240,96
1719,1760264,88
1720,1761288,150
1721,1762312,157
1722,1763336,86
1723,1764360,75
1724,1765384,89
1725,1766408,82
1726,1767432,115
1727,1768456,97
1728,1769480,107
1729,1770504,114
1730,1771528,101
1731,1772552,94
1732,1773576,135
1733,1774600,123
1734,1775624,95
1735,1776648,96
1736,1777672,92
1737,1778696,96
1738,1779720,115
1739,1780744,95
1740,1781768,94
1741,1782792,98
1742,1783816,94
1743,1784840,116
1744,1785864,109
1745,1786888,85
