K,Bytes,AvgTimeMs
# Client started: Tue Jan 27 16:03:26 MSK 2026
# Parameters: N=8, M=5000, Q=25
1330,10648,12
1331,10656,10
1332,10664,12
1333,10672,11
1334,10680,11
1335,10688,11
1336,10696,11
1337,10704,10
1338,10712,12
1339,10720,11
1340,10728,8
1341,10736,9
1342,10744,11
1343,10752,13
1344,10760,12
1345,10768,10
1346,10776,12
1347,10784,11
1348,10792,12
1349,10800,11
1350,10808,10
1351,10816,12
1352,10824,11
1353,10832,11
1354,10840,11
1355,10848,12
1356,10856,11
1357,10864,13
1358,10872,12
1359,10880,11
1360,10888,14
1361,10896,12
1362,10904,21
1363,10912,11
1364,10920,12
1365,10928,9
1366,10936,12
1367,10944,13
1368,10952,12
1369,10960,11
1370,10968,11
1371,10976,11
1372,10984,12
1373,10992,11
1374,11000,11
1375,11008,10
1376,11016,12
1377,11024,11
1378,11032,11
1379,11040,11
1380,11048,12
1381,11056,12
1382,11064,12
1383,11072,12
1384,11080,10
1385,11088,11
1386,11096,11
1387,11104,10
1388,11112,11
1389,11120,12
1390,11128,13
1391,11136,17
1392,11144,11
1393,11152,11
1394,11160,10
1395,11168,12
1396,11176,11
1397,11184,15
1398,11192,12
1399,11200,11
1400,11208,10
1401,11216,12
1402,11224,10
1403,11232,11
1404,11240,11
1405,11248,11
1406,11256,11
1407,11264,10
1408,11272,10
1409,11280,10
1410,11288,11
1411,11296,11
1412,11304,14
1413,11312,10
1414,11320,9
1415,11328,9
1416,11336,14
1417,11344,9
1418,11352,11
1419,11360,9
1420,11368,13
1421,11376,10
1422,11384,12
1423,11392,10
1424,11400,12
1425,11408,11
1426,11416,12
1427,11424,13
1428,11432,10
1429,11440,11
1430,11448,12
1431,11456,11
1432,11464,12
1433,11472,12
1434,11480,11
1435,11488,11
1436,11496,12
1437,11504,12
1438,11512,14
1439,11520,12
1440,11528,12
1441,11536,15
1442,11544,11
1443,11552,10
1444,11560,12
1445,11568,10
1446,11576,12
1447,11584,10
1448,11592,11
1449,11600,11
1450,11608,12
1451,11616,11
1452,11624,11
1453,11632,10
1454,11640,13
1455,11648,10
1456,11656,10
1457,11664,11
1458,11672,13
1459,11680,12
1460,11688,13
1461,11696,11
1462,11704,11
1463,11712,11
1464,11720,12
1465,11728,11
1466,11736,13
1467,11744,11
1468,11752,11
1469,11760,10
1470,11768,13
1471,11776,12
1472,11784,11
1473,11792,13
1474,11800,11
1475,11808,11
1476,11816,11
1477,11824,12
1478,11832,15
1479,11840,12
1480,11848,12
1481,11856,11
1482,11864,12
1483,11872,14
1484,11880,12
1485,11888,11
1486,11896,12
1487,11904,12
1488,11912,12
1489,11920,11
1490,11928,10
1491,11936,12
1492,11944,11
1493,11952,13
1494,11960,12
1495,11968,12
1496,11976,11
1497,11984,11
1498,11992,10
1499,12000,13
1500,12008,12
1501,12016,13
1502,12024,10
1503,12032,10
1504,12040,11
1505,12048,12
1506,12056,13
1507,12064,11
1508,12072,12
1509,12080,12
1510,12088,10
1511,12096,11
1512,12104,14
1513,12112,10
1514,12120,10
1515,12128,12
1516,12136,11
1517,12144,10
1518,12152,11
1519,12160,10
1520,12168,10
1521,12176,10
1522,12184,13
1523,12192,12
1524,12200,11
1525,12208,12
1526,12216,11
1527,12224,11
1528,12232,11
1529,12240,11
1530,12248,11
1531,12256,12
1532,12264,11
1533,12272,12
1534,12280,11
1535,12288,13
1536,12296,13
1537,12304,11
1538,12312,11
1539,12320,10
1540,12328,11
1541,12336,13
1542,12344,12
1543,12352,11
1544,12360,11
1545,12368,10
1546,12376,11
1547,12384,11
1548,12392,14
1549,12400,11
1550,12408,11
1551,12416,12
1552,12424,11
1553,12432,11
1554,12440,12
1555,12448,16
1556,12456,10
1557,12464,11
1558,12472,10
1559,12480,12
1560,12488,12
1561,12496,11
1562,12504,9
1563,12512,11
1564,12520,11
1565,12528,12
1566,12536,12
1567,12544,10
1568,12552,10
1569,12560,9
1570,12568,12
1571,12576,10
1572,12584,10
1573,12592,10
1574,12600,12
1575,12608,15
1576,12616,10
1577,12624,12
1578,12632,11
1579,12640,10
1580,12648,12
1581,12656,11
1582,12664,12
1583,12672,10
1584,12680,13
1585,12688,11
